name;kind;verdict;trace_length;hibou_time_tries;hibou_tries_quickest;hibou_time_median
t11366s8_noise;NOIS;WeakFail;34;[0.0004047, 0.000249, 0.0003173, 0.0003144, 0.0002604];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0003144
t11366s9_noise;NOIS;WeakFail;32;[0.0002893, 0.0002628, 0.0002656, 0.0002821, 0.0002576];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0002656
t11430s10_noise;NOIS;WeakFail;45;[0.0020534, 0.0018821, 0.00194, 0.0018932, 0.0020068];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.00194
t11430s11_noise;NOIS;WeakFail;39;[0.0006987, 0.0008236, 0.0006922, 0.0008717, 0.0006993];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0006993
t11430s12_noise;NOIS;WeakFail;43;[0.0009555, 0.0007847, 0.0016123, 0.0007852, 0.0008744];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0008744
t11430s13_noise;NOIS;WeakFail;43;[0.0009442, 0.0008683, 0.0010359, 0.0008926, 0.0009454];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0009442
t11430s14_noise;NOIS;WeakFail;42;[0.0007898, 0.0007932, 0.0007793, 0.0008054, 0.0012031];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0007932
t11430s15_noise;NOIS;WeakFail;34;[0.0002902, 0.0003273, 0.0003422, 0.0006078, 0.0003495];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0003422
t11430s16_noise;NOIS;WeakFail;36;[0.0008545, 0.0007884, 0.0007572, 0.0016268, 0.0007487];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0007884
t11430s17_noise;NOIS;WeakFail;43;[0.0003059, 0.0003194, 0.0003145, 0.0003153, 0.0003377];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0003153
t11430s18_noise;NOIS;WeakFail;39;[0.0008067, 0.0008572, 0.0008587, 0.000771, 0.0007792];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0008067
t11430s19_noise;NOIS;WeakFail;44;[0.0003496, 0.0003951, 0.0003919, 0.0003198, 0.0003382];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0003496
t11430s1_noise;NOIS;WeakFail;42;[0.0002674, 0.0002755, 0.0002607, 0.0003099, 0.0005344];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0002755
t11430s20_noise;NOIS;WeakFail;49;[0.0003382, 0.0004911, 0.0003228, 0.000338, 0.0003565];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0003382
t11430s21_noise;NOIS;WeakFail;50;[0.0023006, 0.0025461, 0.0025147, 0.0024096, 0.0023806];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0024096
t11430s22_noise;NOIS;WeakPass;35;[0.0209581, 0.0128242, 0.030766, 0.0028008, 0.0048285];['SAME', 'SAME', 'WT_LOC', 'NO_LOC', 'NO_LOC'];0.0128242
t11430s23_noise;NOIS;WeakFail;49;[0.0020518, 0.0019771, 0.0018822, 0.0019309, 0.0019457];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0019457
t11430s24_noise;NOIS;WeakFail;35;[0.0002482, 0.0002716, 0.000245, 0.000307, 0.0003113];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0002716
t11430s25_noise;NOIS;WeakFail;48;[0.0004032, 0.0003889, 0.000376, 0.0004647, 0.0003679];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0003889
t11430s26_noise;NOIS;WeakFail;43;[0.0004118, 0.0003713, 0.0004235, 0.0003401, 0.0003573];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0003713
t11430s27_noise;NOIS;WeakPass;38;[0.0176426, 0.0093928, 0.0167069, 0.0156522, 0.0166835];['SAME', 'SAME', 'SAME', 'SAME', 'SAME'];0.0166835
t11430s28_noise;NOIS;WeakFail;43;[0.0003257, 0.000327, 0.0003413, 0.0002607, 0.0003636];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.000327
t11430s29_noise;NOIS;WeakPass;42;[0.0022384, 0.0116463, 0.001419, 0.0135829, 0.0066073];['NO_LOC', 'SAME', 'NO_LOC', 'SAME', 'NO_LOC'];0.0066073
t11430s2_noise;NOIS;WeakPass;45;[0.020012, 0.021497, 0.0170325, 0.0193604, 0.0092608];['WT_LOC', 'NO_LOC', 'WT_LOC', 'WT_LOC', 'NO_LOC'];0.0193604
t11430s30_noise;NOIS;WeakPass;46;[0.0156859, 0.1069946, 0.0392954, 0.0266154, 0.0443924];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'NO_LOC'];0.0392954
t11430s3_noise;NOIS;WeakPass;48;[0.0231192, 0.00776, 0.020883, 0.2232982, 0.0376124];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC'];0.0231192
t11430s4_noise;NOIS;WeakFail;42;[0.0020844, 0.0023258, 0.0024477, 0.0020468, 0.0046063];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0023258
t11430s5_noise;NOIS;WeakPass;46;[0.0210185, 0.0133926, 0.0083703, 0.0057638, 0.0188263];['SAME', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'SAME'];0.0133926
t11430s6_noise;NOIS;WeakPass;37;[0.0148956, 0.0178278, 0.0019573, 0.0250153, 0.0039379];['SAME', 'SAME', 'NO_LOC', 'SAME', 'NO_LOC'];0.0148956
t11430s7_noise;NOIS;WeakFail;35;[0.0009945, 0.0008481, 0.000745, 0.0007392, 0.0007328];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.000745
t11430s8_noise;NOIS;WeakFail;40;[0.0020149, 0.0017542, 0.0017736, 0.001988, 0.0019961];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.001988
t11430s9_noise;NOIS;WeakPass;48;[0.0276918, 0.0306701, 0.0131624, 0.0280132, 0.0149271];['WT_LOC', 'WT_LOC', 'NO_LOC', 'SAME', 'WT_LOC'];0.0276918
t11494s10_noise;NOIS;WeakFail;35;[0.000342, 0.0003126, 0.0003115, 0.0003729, 0.0003813];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.000342
t11494s11_noise;NOIS;WeakFail;32;[0.0007429, 0.0007178, 0.000694, 0.0007598, 0.0006962];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0007178
t11494s12_noise;NOIS;WeakFail;46;[0.0009308, 0.0009577, 0.0009033, 0.0008755, 0.0008518];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0009033
t11494s13_noise;NOIS;WeakFail;48;[0.0011303, 0.0010405, 0.0010631, 0.0010465, 0.0012334];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0010631
t11494s14_noise;NOIS;WeakFail;43;[0.0003487, 0.0003445, 0.0004224, 0.0003824, 0.000487];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0003824
t11494s15_noise;NOIS;WeakPass;39;[0.0180641, 0.0228252, 0.0195368, 0.0201695, 0.0194875];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0195368
t11494s16_noise;NOIS;WeakFail;37;[0.0016793, 0.0016914, 0.0016277, 0.0016765, 0.0021261];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0016793
t11494s17_noise;NOIS;WeakFail;41;[0.0007074, 0.0008166, 0.0007449, 0.0007515, 0.0007438];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0007449
t11494s18_noise;NOIS;WeakPass;41;[0.0316099, 0.0239185, 0.0110723, 0.0328911, 0.0305757];['WT_LOC', 'SAME', 'NO_LOC', 'NO_LOC', 'WT_LOC'];0.0305757
t11494s19_noise;NOIS;WeakFail;42;[0.0020412, 0.0019144, 0.0022334, 0.0018354, 0.0019438];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0019438
t11494s1_noise;NOIS;WeakFail;38;[0.0009674, 0.0008161, 0.0008799, 0.0008879, 0.0018467];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0008879
t11494s20_noise;NOIS;WeakFail;42;[0.0003447, 0.0002714, 0.0003187, 0.0002827, 0.0002848];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0002848
t11494s21_noise;NOIS;WeakFail;40;[0.0003387, 0.0003537, 0.0003531, 0.0003769, 0.0003052];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0003531
t11494s22_noise;NOIS;WeakPass;39;[0.0045394, 0.0044238, 0.0053814, 0.0131362, 0.00299];['NO_LOC', 'NO_LOC', 'NO_LOC', 'SAME', 'NO_LOC'];0.0045394
t11494s23_noise;NOIS;WeakFail;49;[0.0010526, 0.0010948, 0.0012021, 0.0010823, 0.0011317];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0010948
t11494s24_noise;NOIS;WeakPass;37;[0.0018891, 0.0025316, 0.0018916, 0.0124428, 0.0148393];['NO_LOC', 'NO_LOC', 'NO_LOC', 'SAME', 'SAME'];0.0025316
t11494s25_noise;NOIS;WeakFail;42;[0.0002965, 0.0002884, 0.000323, 0.0002534, 0.0002941];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0002941
t11494s26_noise;NOIS;WeakPass;43;[1.4819921, 2.0116332, 5.0069878, 2.3886379, 1.5125821];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];2.0116332
t11494s27_noise;NOIS;WeakFail;35;[0.0008692, 0.0008353, 0.0008311, 0.0009722, 0.0008985];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0008692
t11494s28_noise;NOIS;WeakFail;55;[0.000397, 0.000303, 0.0002854, 0.0003794, 0.0004848];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0003794
t11494s29_noise;NOIS;WeakFail;33;[0.0012796, 0.0013363, 0.0017857, 0.0013518, 0.0017266];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0013518
t11494s2_noise;NOIS;WeakFail;39;[0.0007671, 0.0008311, 0.0008464, 0.0007966, 0.0007568];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0007966
t11494s30_noise;NOIS;WeakFail;47;[0.002897, 0.0024387, 0.0021763, 0.0032654, 0.0022005];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0024387
t11494s3_noise;NOIS;WeakFail;34;[0.000324, 0.0002533, 0.0002657, 0.0003418, 0.0003272];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.000324
t11494s4_noise;NOIS;WeakFail;38;[0.0002464, 0.0003065, 0.0003297, 0.000256, 0.000306];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.000306
t11494s5_noise;NOIS;WeakFail;46;[0.0002698, 0.0003638, 0.0002791, 0.0003302, 0.0003065];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0003065
t11494s6_noise;NOIS;WeakFail;43;[0.0002251, 0.0002304, 0.0002203, 0.0003086, 0.0002367];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0002304
t11494s7_noise;NOIS;WeakFail;46;[0.0020298, 0.0020386, 0.0026719, 0.0027955, 0.0023268];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0023268
t11494s8_noise;NOIS;WeakFail;41;[0.0008307, 0.0008859, 0.0008289, 0.0008646, 0.0008537];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0008537
t11494s9_noise;NOIS;WeakFail;32;[0.0003267, 0.0002765, 0.0002712, 0.0003447, 0.0004408];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0003267
t11554s10_noise;NOIS;WeakFail;35;[0.0009489, 0.0007852, 0.0007204, 0.0007978, 0.0007912];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0007912
t11554s11_noise;NOIS;WeakFail;50;[0.0022321, 0.0020948, 0.0022087, 0.0028129, 0.0025038];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0022321
t11554s12_noise;NOIS;WeakFail;44;[0.0003773, 0.000326, 0.0003781, 0.0003508, 0.0003474];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0003508
t11554s13_noise;NOIS;WeakFail;41;[0.0018736, 0.0018778, 0.0019605, 0.0022552, 0.0018512];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0018778
t11554s14_noise;NOIS;WeakFail;38;[0.0019053, 0.0018194, 0.0017978, 0.0018218, 0.001902];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0018218
t11554s15_noise;NOIS;WeakFail;42;[0.0002353, 0.0001973, 0.0002528, 0.0002225, 0.0003226];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0002353
t11554s16_noise;NOIS;WeakFail;38;[0.0003648, 0.0003358, 0.000276, 0.0003247, 0.0003043];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0003247
t11554s17_noise;NOIS;WeakFail;45;[0.0009423, 0.0009423, 0.0009695, 0.0010419, 0.0008832];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0009423
t11554s18_noise;NOIS;WeakFail;43;[0.0002974, 0.0004274, 0.0003551, 0.0003429, 0.0003205];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0003429
t11554s19_noise;NOIS;WeakFail;47;[0.0010346, 0.0010527, 0.0013472, 0.0011322, 0.0010739];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0010739
t11554s1_noise;NOIS;WeakFail;41;[0.0017053, 0.0017379, 0.0017, 0.0023144, 0.0017523];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0017379
t11554s20_noise;NOIS;WeakFail;52;[0.0005917, 0.0004544, 0.0003317, 0.0003163, 0.0003728];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0003728
t11554s21_noise;NOIS;WeakFail;37;[0.0015896, 0.0013648, 0.0015305, 0.0015127, 0.0014545];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0015127
t11554s22_noise;NOIS;WeakFail;52;[0.0022108, 0.0026699, 0.0022152, 0.0021792, 0.0021306];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0022108
t11554s23_noise;NOIS;WeakFail;41;[0.0041074, 0.0020913, 0.0018483, 0.002073, 0.0020441];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.002073
t11554s24_noise;NOIS;WeakFail;37;[0.0016534, 0.0014265, 0.0028055, 0.0015404, 0.0014565];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0015404
t11554s25_noise;NOIS;WeakFail;46;[0.002428, 0.00243, 0.0024579, 0.0025718, 0.0025481];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0024579
t11554s26_noise;NOIS;WeakFail;33;[0.0002794, 0.0002522, 0.0003303, 0.000347, 0.0004815];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0003303
t11554s27_noise;NOIS;WeakFail;43;[0.0003455, 0.0003154, 0.0003092, 0.0002933, 0.0003068];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0003092
t11554s28_noise;NOIS;WeakFail;46;[0.0002794, 0.0002742, 0.0002836, 0.000287, 0.000285];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0002836
t11554s29_noise;NOIS;WeakFail;38;[0.0009238, 0.0008808, 0.0008326, 0.0009099, 0.0008051];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0008808
t11554s2_noise;NOIS;WeakFail;36;[0.0002583, 0.0004266, 0.0002956, 0.0002595, 0.0002361];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0002595
t11554s30_noise;NOIS;WeakFail;44;[0.0005945, 0.0003871, 0.0003159, 0.0004003, 0.0003423];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0003871
t11554s3_noise;NOIS;WeakPass;40;[0.0190235, 0.0113873, 0.0137052, 0.0190077, 0.003355];['SAME', 'NO_LOC', 'SAME', 'SAME', 'NO_LOC'];0.0137052
t11554s4_noise;NOIS;WeakFail;45;[0.0009301, 0.0011063, 0.0010166, 0.0010108, 0.0019838];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0010166
t11554s5_noise;NOIS;WeakFail;38;[0.0015898, 0.0018079, 0.0018022, 0.0019346, 0.0016941];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0018022
t11554s6_noise;NOIS;WeakPass;37;[0.0143882, 0.0045929, 0.0029977, 0.0051756, 0.0030483];['SAME', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0045929
t11554s7_noise;NOIS;WeakPass;40;[0.0393176, 0.0239516, 0.0144565, 0.017944, 0.0685136];['WT_LOC', 'SAME', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0239516
t11554s8_noise;NOIS;WeakPass;45;[0.0279672, 0.0035796, 0.0180945, 0.0034458, 0.0033792];['WT_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0035796
t11554s9_noise;NOIS;WeakFail;44;[0.0041196, 0.0024373, 0.0025775, 0.0023757, 0.0028389];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0025775
t11651s10_noise;NOIS;WeakFail;84;[0.0022193, 0.0022888, 0.004794, 0.0023839, 0.0022788];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0022888
t11651s11_noise;NOIS;WeakFail;78;[0.0015976, 0.0023717, 0.0016745, 0.0016278, 0.0015237];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0016278
t11651s12_noise;NOIS;WeakFail;60;[0.0007002, 0.0006253, 0.0005601, 0.0005737, 0.0005995];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0005995
t11651s13_noise;NOIS;WeakFail;65;[0.0016203, 0.0016812, 0.001662, 0.001682, 0.0015155];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.001662
t11651s14_noise;NOIS;WeakFail;68;[0.0012761, 0.00132, 0.0012959, 0.00135, 0.00127];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0012959
t11651s15_noise;NOIS;WeakFail;56;[0.000135, 0.0002122, 0.000155, 0.0001461, 0.0001465];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0001465
t11651s16_noise;NOIS;WeakFail;70;[0.0013187, 0.0014103, 0.0015217, 0.0014333, 0.0012745];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0014103
t11651s17_noise;NOIS;WeakFail;75;[0.0015327, 0.0015656, 0.0015135, 0.0014411, 0.0014705];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0015135
t11651s18_noise;NOIS;WeakFail;70;[0.0015287, 0.0015625, 0.0015454, 0.0015688, 0.0015353];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0015454
t11651s19_noise;NOIS;WeakFail;80;[0.0022752, 0.0022849, 0.0022229, 0.002357, 0.0025251];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0022849
t11651s1_noise;NOIS;WeakFail;76;[0.0017717, 0.0016471, 0.0017447, 0.0016815, 0.0018293];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0017447
t11651s20_noise;NOIS;WeakFail;61;[0.0001336, 0.0001216, 0.000161, 0.0001727, 0.0002397];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.000161
t11651s21_noise;NOIS;WeakPass;73;[0.0153189, 0.0493112, 0.0330575, 0.0166715, 0.0150859];['WT_LOC', 'SAME', 'SAME', 'SAME', 'NO_LOC'];0.0166715
t11651s22_noise;NOIS;WeakFail;81;[0.0002524, 0.000194, 0.0002186, 0.000149, 0.0001718];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.000194
t11651s23_noise;NOIS;WeakFail;50;[0.0001976, 0.0002084, 0.0001462, 0.0002031, 0.0001508];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0001976
t11651s24_noise;NOIS;WeakFail;54;[0.0014075, 0.0012788, 0.0012865, 0.001473, 0.0013658];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0013658
t11651s25_noise;NOIS;WeakPass;59;[0.0022035, 0.0092111, 0.002209, 0.0132232, 0.0104628];['NO_LOC', 'SAME', 'NO_LOC', 'SAME', 'SAME'];0.0092111
t11651s26_noise;NOIS;WeakFail;71;[0.0001888, 0.0001831, 0.000188, 0.0001866, 0.0001877];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0001877
t11651s27_noise;NOIS;WeakFail;73;[0.0001744, 0.0001645, 0.000188, 0.0001086, 0.0001748];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0001744
t11651s28_noise;NOIS;WeakFail;60;[0.001471, 0.0015631, 0.0014784, 0.0015637, 0.0014725];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0014784
t11651s29_noise;NOIS;WeakFail;71;[0.0001225, 0.0001348, 0.0001866, 0.0001932, 0.0001892];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0001866
t11651s2_noise;NOIS;WeakFail;66;[0.0006801, 0.0007762, 0.0006156, 0.0006018, 0.0007519];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0006801
t11651s30_noise;NOIS;WeakFail;79;[0.0013994, 0.0013638, 0.0013928, 0.0013176, 0.001345];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0013638
t11651s3_noise;NOIS;WeakFail;73;[0.0001925, 0.0002251, 0.0001959, 0.0001963, 0.0002185];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0001963
t11651s4_noise;NOIS;WeakFail;74;[0.0008147, 0.0007661, 0.0007628, 0.0007049, 0.0008276];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0007661
t11651s5_noise;NOIS;WeakFail;81;[0.0002111, 0.0001843, 0.000198, 0.0002033, 0.0001949];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.000198
t11651s6_noise;NOIS;WeakFail;73;[0.0001616, 0.0001387, 0.0001332, 0.0002199, 0.0002043];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0001616
t11651s7_noise;NOIS;WeakFail;70;[0.0012467, 0.001113, 0.0009944, 0.0008501, 0.0009464];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0009944
t11651s8_noise;NOIS;WeakFail;74;[0.0013967, 0.0013886, 0.0014681, 0.0014189, 0.0014998];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0014189
t11651s9_noise;NOIS;WeakFail;69;[0.0024041, 0.0023813, 0.0023905, 0.0023113, 0.0023066];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0023813
t11730s10_noise;NOIS;WeakFail;70;[0.0003125, 0.0003271, 0.0003785, 0.0003107, 0.0002568];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0003125
t11730s11_noise;NOIS;WeakFail;69;[0.001009, 0.0010045, 0.0010149, 0.0010179, 0.0010286];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0010149
t11730s12_noise;NOIS;WeakFail;55;[0.0003042, 0.0002503, 0.0002761, 0.0002145, 0.0002353];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0002503
t11730s13_noise;NOIS;WeakFail;55;[0.0018988, 0.00184, 0.001846, 0.0021253, 0.0018736];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0018736
t11730s14_noise;NOIS;WeakFail;64;[0.0002955, 0.0003087, 0.0002383, 0.0002752, 0.0002475];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0002752
t11730s15_noise;NOIS;WeakFail;68;[0.0003606, 0.0002938, 0.0002715, 0.000329, 0.0003137];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0003137
t11730s16_noise;NOIS;WeakFail;58;[0.0012035, 0.001119, 0.001026, 0.0010495, 0.0010995];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0010995
t11730s17_noise;NOIS;WeakFail;63;[0.0024989, 0.0025109, 0.0025115, 0.0026712, 0.0024337];['WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0025109
