name;kind;verdict;trace_length;hibou_time_tries;hibou_tries_quickest;hibou_time_median
t12070;ACPT;WeakPass;62;[0.0082348, 0.1069207, 0.0099828, 0.0558768, 0.4440431];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0558768
t12142;ACPT;WeakPass;84;[0.0396594, 0.1583258, 0.111029, 0.2055265, 0.0249131];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'SAME'];0.111029
t12216;ACPT;Pass;86;[0.0662821, 0.0056923, 0.0019527, 0.0278805, 0.0797384];['NO_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC', 'NO_LOC'];0.0278805
t12266;ACPT;WeakPass;60;[8.8990611, 0.0500263, 6.3458913, 0.73296, 0.0239277];['NO_LOC', 'WT_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC'];0.73296
t1276;ACPT;WeakPass;63;[0.0132287, 0.0073266, 0.0099129, 0.0364839, 0.005906];['NO_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC', 'NO_LOC'];0.0099129
t1345;ACPT;WeakPass;63;[0.0078947, 0.011282, 0.007157, 0.0144635, 0.0324194];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'SAME'];0.011282
t1414;ACPT;WeakPass;63;[0.0086848, 0.0251336, 0.0069097, 0.0318161, 0.0063822];['NO_LOC', 'NO_LOC', 'NO_LOC', 'SAME', 'NO_LOC'];0.0086848
t1482;ACPT;WeakPass;63;[0.016777, 0.0116859, 0.0065328, 0.0358712, 0.032616];['NO_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC', 'WT_LOC'];0.016777
t1554;ACPT;TIMEOUT;None;[];[];None
t1617;ACPT;WeakPass;63;[0.003811, 0.0237827, 0.0091056, 0.0044502, 0.0041443];['NO_LOC', 'SAME', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0044502
t1691;ACPT;WeakPass;63;[0.0076466, 0.0104004, 0.0144246, 0.0059846, 0.0054675];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0076466
t1801;ACPT;Pass;111;[0.0121852, 0.0524792, 0.2015535, 0.10736, 0.0345902];['NO_LOC', 'WT_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC'];0.0524792
t1867;ACPT;Pass;65;[0.040018, 0.2223273, 0.0197299, 0.1666834, 1.3243141];['SAME', 'NO_LOC', 'WT_LOC', 'NO_LOC', 'NO_LOC'];0.1666834
t1939;ACPT;WeakPass;63;[0.0356333, 0.0177621, 0.007342, 0.0164308, 0.0053525];['WT_LOC', 'WT_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0164308
t196;ACPT;WeakPass;63;[0.0706567, 0.0125845, 0.0148261, 0.0063247, 0.0080537];['SAME', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0125845
t2008;ACPT;Pass;65;[0.0174086, 0.0201521, 0.0187801, 0.1304048, 0.2176732];['WT_LOC', 'WT_LOC', 'WT_LOC', 'NO_LOC', 'NO_LOC'];0.0201521
t2103;ACPT;Pass;99;[0.4103981, 0.4570982, 0.2533603, 0.0358037, 0.4149001];['NO_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC', 'NO_LOC'];0.4103981
t2168;ACPT;WeakPass;63;[0.0146211, 0.0451466, 0.0106305, 0.0142591, 0.0073313];['NO_LOC', 'WT_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0142591
t2234;ACPT;WeakPass;63;[0.0271261, 0.0300889, 0.0084777, 0.0077575, 0.0060835];['WT_LOC', 'SAME', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0084777
t2299;ACPT;Pass;65;[0.025457, 0.2679174, 0.1337137, 0.0266032, 0.0259306];['WT_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC', 'WT_LOC'];0.0266032
t2364;ACPT;WeakPass;63;[0.008257, 0.0035478, 0.0315602, 0.0045644, 0.0951759];['NO_LOC', 'NO_LOC', 'SAME', 'NO_LOC', 'WT_LOC'];0.008257
t2428;ACPT;WeakPass;63;[0.0059758, 0.008382, 0.0035788, 0.0156484, 0.0153496];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.008382
t2492;ACPT;WeakPass;63;[0.0080892, 0.0254553, 0.0102202, 0.0069097, 0.0073169];['NO_LOC', 'SAME', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0080892
t2596;ACPT;Pass;109;[0.0089931, 0.7400521, 0.125871, 0.1100217, 0.0328776];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC'];0.1100217
t2657;ACPT;Pass;65;[0.0461822, 0.0839095, 0.0786002, 0.022954, 0.0213432];['WT_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC', 'WT_LOC'];0.0461822
t2714;ACPT;Pass;65;[0.2849772, 0.529538, 0.0301884, 0.2363385, 0.2703502];['NO_LOC', 'NO_LOC', 'WT_LOC', 'NO_LOC', 'NO_LOC'];0.2703502
t2776;ACPT;WeakPass;63;[0.0089592, 0.0162864, 0.0044766, 0.0069928, 0.040524];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC'];0.0089592
t2845;ACPT;WeakPass;63;[0.0080516, 0.0227084, 0.0040877, 0.0073596, 0.0083149];['NO_LOC', 'SAME', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0080516
t2916;ACPT;WeakPass;63;[0.0133145, 0.0239792, 0.0052809, 0.0261237, 0.0068757];['NO_LOC', 'WT_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0133145
t2987;ACPT;Pass;79;[0.0492104, 0.2876604, 0.0217807, 0.0355883, 0.1976117];['WT_LOC', 'NO_LOC', 'WT_LOC', 'WT_LOC', 'NO_LOC'];0.0492104
t3066;ACPT;WeakPass;63;[0.006293, 0.0711357, 0.0170155, 0.0034151, 0.0054407];['NO_LOC', 'WT_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.006293
t3124;ACPT;TIMEOUT;None;[];[];None
t316;ACPT;WeakPass;117;[0.0098421, 0.0115757, 0.0503702, 0.0339762, 0.0287465];['NO_LOC', 'NO_LOC', 'SAME', 'WT_LOC', 'NO_LOC'];0.0287465
t3216;ACPT;Pass;103;[0.1641298, 0.0496535, 0.0297747, 0.2907068, 2.2419156];['NO_LOC', 'NO_LOC', 'WT_LOC', 'NO_LOC', 'NO_LOC'];0.1641298
t3277;ACPT;TIMEOUT;None;[];[];None
t3341;ACPT;WeakPass;63;[0.0049943, 0.0157172, 0.0051334, 0.0280001, 0.0371569];['NO_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC', 'SAME'];0.0157172
t3402;ACPT;WeakPass;63;[0.1002188, 0.0748554, 0.0091766, 0.00813, 0.03702];['WT_LOC', 'WT_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC'];0.03702
t3461;ACPT;WeakPass;63;[0.004463, 0.0338976, 0.0080125, 0.011192, 0.0312885];['NO_LOC', 'WT_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC'];0.011192
t3532;ACPT;WeakPass;63;[0.0585235, 0.0081075, 0.008862, 0.0115635, 0.0860826];['SAME', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC'];0.0115635
t3605;ACPT;WeakPass;63;[0.0062964, 0.0100862, 0.0366919, 0.0361558, 0.0227281];['NO_LOC', 'NO_LOC', 'SAME', 'SAME', 'NO_LOC'];0.0227281
t3660;ACPT;Pass;65;[0.0432699, 0.7567288, 0.0465753, 0.0746187, 0.0419855];['WT_LOC', 'NO_LOC', 'WT_LOC', 'WT_LOC', 'WT_LOC'];0.0465753
t3715;ACPT;WeakPass;63;[0.015638, 0.0323324, 0.0085491, 0.0239978, 0.0147009];['NO_LOC', 'WT_LOC', 'NO_LOC', 'SAME', 'NO_LOC'];0.015638
t3773;ACPT;WeakPass;63;[0.096249, 0.062479, 0.0206694, 0.0609692, 0.0081766];['WT_LOC', 'WT_LOC', 'NO_LOC', 'SAME', 'NO_LOC'];0.0609692
t3844;ACPT;WeakPass;63;[0.0071878, 0.0059508, 0.0084918, 0.0061748, 0.0023362];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0061748
t3902;ACPT;WeakPass;63;[0.0382754, 0.0538133, 0.0059315, 0.0046883, 0.0148966];['WT_LOC', 'SAME', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0148966
t3954;ACPT;WeakPass;63;[0.0131525, 0.0088002, 0.0081535, 0.0057263, 0.004147];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0081535
t4013;ACPT;WeakPass;63;[0.0043418, 0.0328048, 0.0272637, 0.0328924, 0.0054499];['NO_LOC', 'WT_LOC', 'SAME', 'WT_LOC', 'NO_LOC'];0.0272637
t4065;ACPT;TIMEOUT;None;[];[];None
t4118;ACPT;Pass;65;[9.1138538, 0.0271424, 3.4124147000000002, 0.0286255, 0.9031777];['NO_LOC', 'WT_LOC', 'NO_LOC', 'WT_LOC', 'NO_LOC'];0.9031777
t415;ACPT;WeakPass;98;[0.4483492, 0.0812816, 0.1550352, 0.4307028, 0.5174872];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.4307028
t4180;ACPT;WeakPass;63;[0.029764, 0.0121955, 0.0177748, 0.0440908, 0.0072331];['SAME', 'NO_LOC', 'NO_LOC', 'WT_LOC', 'NO_LOC'];0.0177748
